2025-10-31 07:41:26.006 MSK [1120039] ВАЖНО:  файл блокировки "postmaster.pid" уже существует
2025-10-31 07:41:26.006 MSK [1120039] ПОДСКАЗКА:  Другой экземпляр postmaster (PID 499638) работает с каталогом данных "/home/hillence/Загрузки/gogo/localpg"?
2025-10-31 07:42:24.095 MSK [1120502] ВАЖНО:  файл блокировки "postmaster.pid" уже существует
2025-10-31 07:42:24.095 MSK [1120502] ПОДСКАЗКА:  Другой экземпляр postmaster (PID 499638) работает с каталогом данных "/home/hillence/Загрузки/gogo/localpg"?
2025-10-31 16:46:46.083 MSK [6800] СООБЩЕНИЕ:  запускается PostgreSQL 17.6 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 15.2.1 20250813, 64-bit
2025-10-31 16:46:46.083 MSK [6800] СООБЩЕНИЕ:  для приёма подключений открыт Unix-сокет "/tmp/.s.PGSQL.5433"
2025-10-31 16:46:46.087 MSK [6803] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2025-10-31 10:20:47 MSK
2025-10-31 16:46:46.232 MSK [6803] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2025-10-31 16:46:46.236 MSK [6803] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/1BA8490
2025-10-31 16:46:46.236 MSK [6803] СООБЩЕНИЕ:  неверная длина записи в позиции 0/1BA8598: ожидалось минимум 24, получено 0
2025-10-31 16:46:46.236 MSK [6803] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/1BA8560, нагрузка системы: CPU: пользов.: 0.00 с, система: 0.00 с, прошло: 0.00 с
2025-10-31 16:46:46.239 MSK [6801] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2025-10-31 16:46:46.245 MSK [6801] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.002 сек., синхр.=0.001 сек., всего=0.006 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1BA8598, lsn redo=0/1BA8598
2025-10-31 16:46:46.247 MSK [6800] СООБЩЕНИЕ:  система БД готова принимать подключения
2025-10-31 16:51:46.345 MSK [6801] СООБЩЕНИЕ:  начата контрольная точка: time
2025-10-31 16:51:49.157 MSK [6801] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 29 (0.2%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.807 сек., синхр.=0.003 сек., всего=2.813 сек.; синхронизировано_файлов=29, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=112 kB, ожидалось=112 kB; lsn=0/1BC4718, lsn redo=0/1BC46C0
2025-11-01 23:57:16.148 MSK [10519] СООБЩЕНИЕ:  запускается PostgreSQL 17.6 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 15.2.1 20250813, 64-bit
2025-11-01 23:57:16.148 MSK [10519] СООБЩЕНИЕ:  для приёма подключений открыт Unix-сокет "/tmp/.s.PGSQL.5433"
2025-11-01 23:57:16.151 MSK [10523] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2025-10-31 16:51:49 MSK
2025-11-01 23:57:16.253 MSK [10523] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2025-11-01 23:57:16.255 MSK [10523] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/1BC46C0
2025-11-01 23:57:16.255 MSK [10523] СООБЩЕНИЕ:  неверная длина записи в позиции 0/1BC47C8: ожидалось минимум 24, получено 0
2025-11-01 23:57:16.255 MSK [10523] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/1BC4790, нагрузка системы: CPU: пользов.: 0.00 с, система: 0.00 с, прошло: 0.00 с
2025-11-01 23:57:16.257 MSK [10521] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2025-11-01 23:57:16.262 MSK [10521] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.002 сек., синхр.=0.001 сек., всего=0.005 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1BC47C8, lsn redo=0/1BC47C8
2025-11-01 23:57:16.265 MSK [10519] СООБЩЕНИЕ:  система БД готова принимать подключения
2025-11-01 23:57:18.569 MSK [11112] ВАЖНО:  файл блокировки "postmaster.pid" уже существует
2025-11-01 23:57:18.569 MSK [11112] ПОДСКАЗКА:  Другой экземпляр postmaster (PID 10519) работает с каталогом данных "/home/hillence/Загрузки/gogo/localpg"?
2025-11-02 00:02:16.320 MSK [10521] СООБЩЕНИЕ:  начата контрольная точка: time
2025-11-02 00:02:19.138 MSK [10521] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 29 (0.2%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.810 сек., синхр.=0.004 сек., всего=2.819 сек.; синхронизировано_файлов=29, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=115 kB, ожидалось=115 kB; lsn=0/1BE15F0, lsn redo=0/1BE1598
2025-11-02 00:07:16.238 MSK [10521] СООБЩЕНИЕ:  начата контрольная точка: time
2025-11-02 00:07:17.749 MSK [10521] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 16 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.506 сек., синхр.=0.002 сек., всего=1.511 сек.; синхронизировано_файлов=16, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=11 kB, ожидалось=105 kB; lsn=0/1BE44B8, lsn redo=0/1BE4460
2025-11-02 00:12:16.848 MSK [10521] СООБЩЕНИЕ:  начата контрольная точка: time
2025-11-02 00:12:17.158 MSK [10521] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.302 сек., синхр.=0.002 сек., всего=0.310 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=6 kB, ожидалось=95 kB; lsn=0/1BE5D90, lsn redo=0/1BE5D00
